stage,feature,target,auc,lo,hi,n_pos
N2,log_delta,abnormal,0.5665270117682021,0.5587231240394411,0.5747679752656859,4991
N2,log_delta,focal,0.5569317004567801,0.5465506657150121,0.566752376139956,3339
N2,log_delta,gen_pathologic,0.5999961445252102,0.5898168864858048,0.611031921358865,3623
N2,log_theta,abnormal,0.5588340757345037,0.5499390524555945,0.567148843589299,4991
N2,log_theta,focal,0.5568178326620549,0.545762237331033,0.5674059799829565,3339
N2,log_theta,gen_pathologic,0.5637290163574507,0.5528394607421034,0.5737220544182101,3623
N2,rel_delta,abnormal,0.5118442145132859,0.5024023045564456,0.5206828341239682,4991
N2,rel_delta,focal,0.5031644417116173,0.49288062170233377,0.5145320392417125,3339
N2,rel_delta,gen_pathologic,0.5254404872818238,0.5151094251532378,0.5357731898028748,3623
N3,TAR,abnormal,0.48928283731856714,0.4784962329778061,0.5000638368329478,3495
N3,TAR,focal,0.4704203954321756,0.4579468275721174,0.48339989341716,2333
N3,TAR,gen_pathologic,0.5117609856819518,0.5008505719530449,0.5232852902367802,2905
N3,DAR,abnormal,0.49054256447904904,0.48034548745323963,0.5007536561420083,3495
N3,DAR,focal,0.46728743684871243,0.4562595774705717,0.47893643485911797,2333
N3,DAR,gen_pathologic,0.5303500792377291,0.5198166553521755,0.5424521527109092,2905
N3,log_delta,abnormal,0.5284792169687392,0.5183791043195817,0.5376292339875453,3495
N3,log_delta,focal,0.5274708974333752,0.5133402875105533,0.5381472476918476,2333
N3,log_delta,gen_pathologic,0.5294416837510204,0.5169401022376326,0.5401269278756822,2905
N3,log_theta,abnormal,0.5295784977859015,0.5201869395341088,0.5408135067585613,3495
N3,log_theta,focal,0.5385999193048217,0.5274256999987471,0.5493304993125585,2333
N3,log_theta,gen_pathologic,0.5103306917878976,0.49894245014210253,0.522394431184419,2905
N3,rel_delta,abnormal,0.5221436585928589,0.5111402000527562,0.5345289497399345,3495
N3,rel_delta,focal,0.5010500532646232,0.488388547730791,0.5131142445091441,2333
N3,rel_delta,gen_pathologic,0.5125722928260391,0.5011321179067157,0.5250310493295435,2905
REM,TAR,abnormal,0.48870365416694916,0.4791154649060837,0.4980192846530503,4253
REM,TAR,focal,0.46397728837482605,0.4517139858279619,0.4765199627567914,2911
REM,TAR,gen_pathologic,0.5690942725543074,0.5595736351446348,0.5804913093598212,2861
REM,DAR,abnormal,0.48022621186674497,0.4703748544382138,0.4898855970132347,4253
REM,DAR,focal,0.46340638185965316,0.4541419819412035,0.4745775870370305,2911
REM,DAR,gen_pathologic,0.5766379693134402,0.5665353023598404,0.5874172571596167,2861
REM,log_delta,abnormal,0.5587029214019776,0.548752857819724,0.5679953774349605,4253
REM,log_delta,focal,0.5504405481398253,0.5397933346979609,0.5619342817291033,2911
REM,log_delta,gen_pathologic,0.6204352229628427,0.6100670565403219,0.6310117828734935,2861
REM,log_theta,abnormal,0.5732830699959744,0.5642185278589117,0.5829761275047556,4253
REM,log_theta,focal,0.5649526753561889,0.554315867348715,0.5766343166363975,2911
REM,log_theta,gen_pathologic,0.614033375851789,0.602357921624131,0.6237712703143037,2861
REM,rel_delta,abnormal,0.4924113486728,0.48245394505751593,0.5024255474750641,4253
REM,rel_delta,focal,0.48557775979873,0.47630399910265686,0.4969242397793477,2911
REM,rel_delta,gen_pathologic,0.5644623187545246,0.5544938198745726,0.5751369944301589,2861
