stage,feature,target,auc,lo,hi,n_pos
W,TAR,abnormal,0.4776728058795565,0.4702822065777894,0.4872677170559223,5503
W,TAR,focal,0.46408705674583395,0.45498266680804644,0.4745632948893469,3691
W,TAR,gen_pathologic,0.5554017776314881,0.54636388642316,0.5645019556765691,3883
W,DAR,abnormal,0.46544241936040137,0.45712976826915813,0.4739479363932101,5503
W,DAR,focal,0.45119419310013975,0.44150027926132124,0.4611759924127367,3691
W,DAR,gen_pathologic,0.5502253589400399,0.5405353610528899,0.5601624738250913,3883
W,log_delta,abnormal,0.46935557446746423,0.46088148760602654,0.47688502779071673,5503
W,log_delta,focal,0.47632858143958806,0.46585993775353596,0.48655493955165524,3691
W,log_delta,gen_pathologic,0.5066536813680679,0.4966281211027528,0.5165359770796376,3883
W,log_theta,abnormal,0.5048410026602468,0.4965507548881982,0.5126049460249356,5503
W,log_theta,focal,0.5159798925834601,0.5063943726610656,0.5269494681974878,3691
W,log_theta,gen_pathologic,0.5146417476919134,0.5048469504881669,0.5243522693556314,3883
W,rel_delta,abnormal,0.4388873654777574,0.4307185819197236,0.4471991949076374,5503
W,rel_delta,focal,0.4531882943643636,0.4435591842124276,0.46308017275447244,3691
W,rel_delta,gen_pathologic,0.48504815160632303,0.4761435510895489,0.4947010438204506,3883
N1,TAR,abnormal,0.5206570440446957,0.5112862747358773,0.5296427560669912,5085
N1,TAR,focal,0.4949684373824028,0.48574923676782034,0.5041046923032294,3445
N1,TAR,gen_pathologic,0.5951296184669171,0.5857954761589759,0.6043152762907841,3557
N1,DAR,abnormal,0.5032463637083261,0.4938301586641772,0.5111464428399212,5085
N1,DAR,focal,0.48119960989332233,0.4699980045474324,0.49105563204962766,3445
N1,DAR,gen_pathologic,0.5979397421050953,0.5888931768687587,0.6079804485618548,3557
N1,log_delta,abnormal,0.5510526170221854,0.5428626849390392,0.5608077593267378,5085
N1,log_delta,focal,0.5383791190532942,0.5285078678236584,0.547792323688543,3445
N1,log_delta,gen_pathologic,0.6209870356202302,0.6121447567498779,0.6301528413121492,3557
N1,log_theta,abnormal,0.5688479372039361,0.5601702913658128,0.5776407927573003,5085
N1,log_theta,focal,0.5599293196523832,0.5494577498656911,0.5700130719942951,3445
N1,log_theta,gen_pathologic,0.6085938398439924,0.5994033775369765,0.6175096465001301,3557
N1,rel_delta,abnormal,0.5182526886213759,0.509944045027828,0.5266070209362191,5085
N1,rel_delta,focal,0.5056429065777786,0.4952166802824901,0.5151631755041552,3445
N1,rel_delta,gen_pathologic,0.5859067026724462,0.5762904660294692,0.5949794496351332,3557
N2,TAR,abnormal,0.4998106830956741,0.4914573592306001,0.5085447250334963,4991
N2,TAR,focal,0.4776730317835648,0.4668369227001231,0.48719437583590824,3339
N2,TAR,gen_pathologic,0.5447287689169569,0.5339142187266914,0.5542531841556677,3623
N2,DAR,abnormal,0.5081933201428032,0.499438447156521,0.5164772343528562,4991
N2,DAR,focal,0.4852474525097808,0.47403291931614494,0.4946512939062566,3339
N2,DAR,gen_pathologic,0.580338555743136,0.5701963769576853,0.590022842135302,3623
