positives,contrast,auc,lo,hi,folds
all focal,focal vs clean-normal,0.7742717446716896,0.7709424949719488,0.7772887295433715,5
all focal,focal vs clean-normal + generalized,0.7461036726174901,0.7402741435181174,0.7534185074658869,5
all focal,focal vs generalized,0.6689745464440835,0.6492023245077276,0.6907591745124901,5
exclusively focal (no pathologic generalized),focal vs clean-normal,0.7402819483786349,0.7273011692239084,0.74820564297597,5
exclusively focal (no pathologic generalized),focal vs clean-normal + generalized,0.7101485972697681,0.7003580988301247,0.7225264345390183,5
exclusively focal (no pathologic generalized),focal vs generalized,0.6276394825484006,0.6106096880705973,0.6551185123920205,5
