tau_M,gate_pos,case1,case2,flag,gate_sens,gate_spec
0.2,0.831379396358194,0.0002494387627837366,0.14218009478672985,0.1424295335495136,0.9848073792729246,0.2991689750692521
0.25,0.7360937889748067,0.0002494387627837366,0.1040991103350794,0.10434854909786315,0.9638270935069633,0.45767928593413354
0.3,0.5549181009395526,0.0005820237798287187,0.046894487403342476,0.0474765111831712,0.8800868149755833,0.72176054170514
0.35,0.4634572212521826,0.0008314625426124553,0.027105678889166044,0.027937141431778497,0.7994212334961114,0.8224068944290551
0.4,0.405005404506527,0.001746071339486156,0.020370832294005155,0.022116903633491312,0.7243624525230602,0.8667282240689442
0.45,0.3578614783404008,0.002660680136359857,0.01579778830963665,0.01845846844599651,0.6507505878097305,0.8913511849799939
0.5,0.3243535378731188,0.0036584351874948033,0.01263823064770932,0.016296665835204123,0.5957677699403147,0.9065866420437058
0.55,0.2971647127296915,0.004074166458801031,0.01080901305396192,0.01488317951276295,0.5498281786941581,0.9178208679593721
0.6,0.2754635403675064,0.004406751475846013,0.009395526731520745,0.013802278207366759,0.513293543136191,0.9269005847953217
0.65,0.25509270807350126,0.00465619023862975,0.007898894154818325,0.012555084393448076,0.47748236570808467,0.9341335795629424
0.7,0.23472187577949613,0.005238214018458469,0.006651700340899643,0.01188991435935811,0.44311810453969974,0.9425977223761157
0.75,0.21825891743576953,0.005737091544025941,0.005820237798287187,0.011557329342313129,0.41454150841020077,0.9487534626038782
0.8,0.1990521327014218,0.0061528228153321695,0.004822482747152241,0.010975305562484411,0.37963465364442034,0.9546014158202524
0.85,0.17602062027105678,0.006984285357944624,0.004157312713062277,0.0111415980710069,0.3362271658527763,0.9602954755309326
0.9,0.13951941465037,0.00781574790055708,0.0032427039161885755,0.011058451816745656,0.2687646952432628,0.9704524469067405
0.95,0.09137773343310884,0.009478672985781991,0.001579778830963665,0.011058451816745656,0.18032193886778802,0.984302862419206
