axis,band,auroc,lo,hi,n,n_pos
focal,0-10,0.6032529770548939,0.5369234543803509,0.6667808126148984,423,110
focal,10-20,0.6741890959282262,0.5986911288481125,0.7496208532422741,279,69
focal,20-30,0.724247491638796,0.6518009154967112,0.7898268404951492,308,78
focal,30-40,0.7567664071984573,0.6822866239326635,0.8221190830322396,276,67
focal,40-50,0.6870862753751104,0.6138328391087341,0.7546254725031102,294,88
focal,50-60,0.742483660130719,0.6875641554975116,0.7919364529915384,388,153
focal,60-70,0.756360657229985,0.7072344241959857,0.8046466874764218,427,173
focal,70-80,0.8152949487813493,0.768774900486121,0.8570829044494993,339,149
focal,80-90,0.7456880389951256,0.6751615064575625,0.8153690369834652,211,84
generalized,0-10,0.6080430528375733,0.5336871703952376,0.6806649595107039,423,73
generalized,10-20,0.7599955327228054,0.6707649726557289,0.8388820662092686,279,37
generalized,20-30,0.7178638059701493,0.6267399651032737,0.8048658358908058,308,40
generalized,30-40,0.75695223843372,0.6621502500683684,0.8432412358900159,276,33
generalized,40-50,0.7257834757834758,0.6473971312743019,0.7986158591272305,294,60
generalized,50-60,0.6979166666666666,0.6282022341225848,0.7601403399939052,388,88
generalized,60-70,0.6955810397553517,0.6335252346765987,0.7562978071076621,427,100
generalized,70-80,0.6764069264069263,0.6207453467098386,0.7340887969606945,339,108
generalized,80-90,0.6467661691542289,0.560399896886903,0.721503765046476,211,67
