axis,testset,auroc_raw,auroc_age_matched,n
focal,report-test,0.7374145601617795,0.7076621115620793,2989
focal,ON-100,0.9197530864197531,0.8981916096930388,95
generalized,report-test,0.7167411167512691,0.6841760489503301,2989
generalized,ON-100,0.9374057315233786,0.9441145238204058,95
