panel,axis,model,n,n_pos,experts,auroc,auroc_lo,auroc_hi,under_asym,under_asym_k,under_sym,under_sym_k,under_sym_lo,under_sym_hi
ON-100,focal,LENS,95,14,17,0.908289241622575,0.8149181611071854,0.9779227298805611,52.94117647058824,9,70.58823529411765,12,35.294117647058826,100.0
ON-100,focal,Morgoth gate,95,14,17,0.9082892416225751,0.8283132530120482,0.9741602067183462,41.17647058823529,7,52.94117647058824,9,17.647058823529413,88.23529411764706
ON-100,focal,van Putten (asym_rel_delta),95,14,17,0.8253968253968254,0.7166817223727793,0.9232866479925302,11.76470588235294,2,11.76470588235294,2,0.0,58.82352941176471
ON-100,generalized,LENS,95,17,18,0.9607843137254901,0.9144144144144144,0.9937205990088344,83.33333333333334,15,83.33333333333334,15,50.0,100.0
ON-100,generalized,Morgoth gate,95,17,18,0.8529411764705882,0.75,0.9338825396825396,11.11111111111111,2,16.666666666666664,3,5.555555555555555,55.55555555555556
ON-100,generalized,van Putten (DAR),95,17,18,0.8174962292609351,0.7066666666666667,0.9127625538020085,11.11111111111111,2,27.77777777777778,5,5.555555555555555,55.55555555555556
SAI-100,focal,LENS,100,26,14,0.9303534303534304,0.8619578173374614,0.9792100932400932,64.28571428571429,9,71.42857142857143,10,42.857142857142854,92.85714285714286
SAI-100,focal,Morgoth,100,26,14,0.9755717255717256,0.9278711336574367,1.0,92.85714285714286,13,92.85714285714286,13,71.42857142857143,100.0
SAI-100,focal,SCORE-AI,100,26,14,0.8783783783783784,0.7843327265255385,0.9528510338345865,28.57142857142857,4,35.714285714285715,5,21.428571428571427,78.57142857142857
SAI-100,generalized,LENS,100,24,14,0.9084429824561403,0.8064778075148893,0.9794522010141291,50.0,7,50.0,7,35.714285714285715,85.71428571428571
SAI-100,generalized,Morgoth,100,24,14,0.9512061403508772,0.8970022683351911,0.9909039376218324,71.42857142857143,10,64.28571428571429,9,42.857142857142854,100.0
SAI-100,generalized,SCORE-AI,100,24,14,0.931469298245614,0.8779602576477576,0.97258809480894,57.14285714285714,8,64.28571428571429,9,28.57142857142857,85.71428571428571
