axis,arm,testset,auroc,lo,hi,n,n_pos
focal,age-only,report-test,0.5911420626895854,0.5680740703105338,0.6128142125721946,2989,989
focal,age-only,ON-100,0.6609347442680776,0.4915220450281426,0.8202936746987951,95,14
focal,deviation-only,report-test,0.7380005055611728,0.7194650062339114,0.7572529825133335,2989,989
focal,deviation-only,ON-100,0.9118165784832452,0.835978835978836,0.9707792207792207,95,14
focal,deviation+age,report-test,0.7374145601617795,0.7187204837783503,0.7566763103639396,2989,989
focal,deviation+age,ON-100,0.9197530864197531,0.8513682256562003,0.9729562713974479,95,14
generalized,age-only,report-test,0.6100524534686972,0.5851575763526754,0.6358072310404301,2989,625
generalized,age-only,ON-100,0.7119155354449472,0.5508777700831025,0.8655397467238183,95,17
generalized,deviation-only,report-test,0.7099573604060915,0.687096449725094,0.7319317621148644,2989,625
generalized,deviation-only,ON-100,0.9253393665158371,0.8695643976654207,0.9700071059431524,95,17
generalized,deviation+age,report-test,0.7167411167512691,0.6936672473448818,0.7389219620485273,2989,625
generalized,deviation+age,ON-100,0.9374057315233786,0.8862373737373738,0.9766214177978885,95,17
