panel,axis,comparison,diff,lo,hi,p,B
ON-100,focal,LENS - Morgoth gate,-1.1102230246251565e-16,-0.07143452380952378,0.08225108225108224,1.003,2000
ON-100,focal,LENS - van Putten (asym_rel_delta),0.08289241622574961,-0.050044117647058864,0.21696626984126968,0.219,2000
ON-100,generalized,LENS - Morgoth gate,0.10784313725490191,0.030000000000000027,0.20444947209653055,0.003,2000
ON-100,generalized,LENS - van Putten (DAR),0.143288084464555,0.0682262443438913,0.2242152080344332,0.0005,2000
SAI-100,focal,LENS - SCORE-AI,0.05197505197505203,-0.04723075668623619,0.15515467105263175,0.299,2000
SAI-100,focal,LENS - Morgoth,-0.045218295218295124,-0.11655055014430019,0.014687566155910953,0.139,2000
SAI-100,generalized,LENS - SCORE-AI,-0.023026315789473673,-0.12988677988677982,0.060606534090909145,0.688,2000
SAI-100,generalized,LENS - Morgoth,-0.04276315789473695,-0.16049933862433868,0.04158559196866991,0.375,2000
