stage,feature,arm,nominal,observed,lo,hi,n_obs,n_patients
N1,log DAR,internal held-out normals,90,89.51,88.01,90.88,14113,1275
N1,log DAR,internal held-out normals,97,96.38,95.37,97.27,14113,1275
N1,log DAR,external no-slowing (ON-100),3,8.24,1.71,18.6,837,66
N1,log DAR,external no-slowing (ON-100),10,15.89,6.75,28.18,837,66
N1,log DAR,external no-slowing (ON-100),25,31.3,19.84,43.56,837,66
N1,log DAR,external no-slowing (ON-100),50,50.9,38.33,63.41,837,66
N1,log DAR,external no-slowing (ON-100),75,73.48,62.18,82.87,837,66
N1,log DAR,external no-slowing (ON-100),90,90.8,85.85,94.67,837,66
N1,log DAR,external no-slowing (ON-100),97,98.09,96.78,99.07,837,66
N2,relative delta,internal held-out normals,3,3.02,2.25,3.76,17820,1086
N2,relative delta,internal held-out normals,10,9.37,8.08,10.6,17820,1086
N2,relative delta,internal held-out normals,25,24.06,22.24,25.8,17820,1086
N2,relative delta,internal held-out normals,50,49.76,47.57,52.21,17820,1086
N2,relative delta,internal held-out normals,75,74.96,73.0,77.04,17820,1086
N2,relative delta,internal held-out normals,90,89.69,88.4,91.03,17820,1086
N2,relative delta,internal held-out normals,97,96.74,95.97,97.41,17820,1086
N2,relative delta,external no-slowing (ON-100),3,3.83,1.97,6.44,835,61
N2,relative delta,external no-slowing (ON-100),10,15.45,9.98,23.9,835,61
N2,relative delta,external no-slowing (ON-100),25,33.05,24.87,44.52,835,61
N2,relative delta,external no-slowing (ON-100),50,59.28,50.65,69.25,835,61
N2,relative delta,external no-slowing (ON-100),75,81.44,74.16,87.8,835,61
N2,relative delta,external no-slowing (ON-100),90,94.25,89.3,97.9,835,61
N2,relative delta,external no-slowing (ON-100),97,98.68,96.76,99.89,835,61
N2,log TAR,internal held-out normals,3,5.06,3.87,6.25,17820,1086
N2,log TAR,internal held-out normals,10,11.89,10.4,13.69,17820,1086
N2,log TAR,internal held-out normals,25,25.38,23.44,27.59,17820,1086
N2,log TAR,internal held-out normals,50,48.78,46.4,51.17,17820,1086
N2,log TAR,internal held-out normals,75,75.31,73.28,77.29,17820,1086
N2,log TAR,internal held-out normals,90,91.64,90.36,92.85,17820,1086
N2,log TAR,internal held-out normals,97,98.06,97.5,98.55,17820,1086
N2,log TAR,external no-slowing (ON-100),3,5.75,2.19,9.65,835,61
N2,log TAR,external no-slowing (ON-100),10,12.57,7.37,18.02,835,61
